VehicleName	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	Throttle	Steering	Brake	Gear	Handbrake	RPM	Speed	ImageFile
PhysXCar	1658166023910	0.000243143	1.27411e-05	3.13626	0.707106	-1.64085e-06	1.90954e-05	0.707107	0	0	0	0	0	0	0	img_PhysXCar__0_1658166023908674700.png
PhysXCar	1658166023995	0.000243143	1.27411e-05	3.13626	0.707106	-1.64085e-06	1.90954e-05	0.707107	0	0	0	0	0	0	0	img_PhysXCar__0_1658166023993208000.png
PhysXCar	1658166024072	0.000243143	1.27411e-05	3.13626	0.707106	-1.64085e-06	1.90954e-05	0.707107	0	0	0	0	0	0	0	img_PhysXCar__0_1658166024071051400.png
PhysXCar	1658166024148	0.000243143	1.27411e-05	3.13626	0.707106	-1.64085e-06	1.90954e-05	0.707107	0	0	0	0	0	0	0	img_PhysXCar__0_1658166024146980700.png
PhysXCar	1658166024225	0.000243143	1.27411e-05	3.13626	0.707106	-1.64085e-06	1.90954e-05	0.707107	0	0	0	0	0	0	0	img_PhysXCar__0_1658166024223447900.png
PhysXCar	1658166024301	0.000243143	1.27411e-05	3.13626	0.707106	-1.64085e-06	1.90954e-05	0.707107	0	0	0	0	0	0	0	img_PhysXCar__0_1658166024299415500.png
PhysXCar	1658166024378	0.000243143	1.27411e-05	3.13626	0.707106	-1.64085e-06	1.90954e-05	0.707107	0	0	0	0	0	0	0	img_PhysXCar__0_1658166024376509000.png
PhysXCar	1658166024456	0.000243143	1.27411e-05	3.13626	0.707106	-1.64085e-06	1.90954e-05	0.707107	0	0	0	0	0	0	0	img_PhysXCar__0_1658166024454497600.png
PhysXCar	1658166024532	0.000243143	1.27411e-05	3.13626	0.707106	-1.64085e-06	1.90954e-05	0.707107	0	0	0	0	0	0	0	img_PhysXCar__0_1658166024530585100.png
PhysXCar	1658166024608	0.000243143	1.27411e-05	3.13626	0.707106	-1.64085e-06	1.90954e-05	0.707107	0	0	0	0	0	0	0	img_PhysXCar__0_1658166024607163600.png
PhysXCar	1658166024686	0.000243143	1.27411e-05	3.13626	0.707106	-1.64085e-06	1.90954e-05	0.707107	0	0	0	0	0	0	0	img_PhysXCar__0_1658166024684622600.png
PhysXCar	1658166024763	0.000243143	1.27411e-05	3.13626	0.707106	-1.64085e-06	1.90954e-05	0.707107	0	0	0	0	0	0	0	img_PhysXCar__0_1658166024761827000.png
PhysXCar	1658166024840	0.000243143	1.27411e-05	3.13626	0.707106	-1.64085e-06	1.90954e-05	0.707107	0	0	0	0	0	0	0	img_PhysXCar__0_1658166024838569300.png
PhysXCar	1658166024915	0.000243143	1.27411e-05	3.13626	0.707106	-1.64085e-06	1.90954e-05	0.707107	0	0	0	0	0	0	0	img_PhysXCar__0_1658166024913670700.png
PhysXCar	1658166024991	0.000243143	1.27411e-05	3.13626	0.707106	-1.64085e-06	1.90954e-05	0.707107	0	0	0	0	0	0	0	img_PhysXCar__0_1658166024989570200.png
